Year,Total,career_avg,delta_last,gdp_pc_log,efficiency
1960,1.0,0.7692307692307693,0.0,4.441860455410851,0.2251308905442651
1964,1.0,0.7857142857142857,0.0,4.769467195333824,0.209667025486273
1968,1.0,0.8,0.0,4.620618272697642,0.2164212538198211
1972,1.0,0.8125,0.0,4.830477043362549,0.2070188908927903
1976,0.0,0.8235294117647058,-1.0,5.100597865059496,0.0
1980,1.0,0.7777777777777778,1.0,5.602417469835669,0.1784943741490461
1984,0.0,0.7894736842105263,-1.0,5.638532119213912,0.0
1988,0.0,0.75,0.0,5.881885533981986,0.0
1992,0.0,0.7142857142857143,0.0,5.765762953749465,0.0
1996,1.0,0.6818181818181818,1.0,5.994078015705835,0.1668313287514401
2000,1.0,0.6956521739130435,0.0,6.093005771156921,0.164122608373982
2004,1.0,0.7083333333333334,0.0,6.436565068443288,0.1553623694263149
2008,3.0,0.72,2.0,6.900246745287388,0.4347670613444205
2012,6.0,0.8076923076923077,3.0,7.264955481588603,0.8258825556750694
2016,2.0,1.0,-4.0,7.44279082078555,0.2687164060038583
2020,7.0,1.0357142857142858,5.0,7.553308900253144,0.9267461575370496
2024,6.0,1.2413793103448276,-1.0,7.899056190521106,0.759584418097952
