Sport,career_avg,delta_last,Predicted_Medals_2028,Breakout_Index
Alpine Skiing,0.0,0.0,0.006070213,50.0
Archery,0.0,0.0,0.006070213,50.0
Art Competitions,0.0,0.0,0.006070213,50.0
Basketball,0.0,0.0,0.006070213,50.0
Cycling,0.0,0.0,0.006070213,50.0
Diving,0.0,0.0,0.006070213,50.0
Equestrianism,0.0,0.0,0.006070213,50.0
Football,0.0,0.0,0.006070213,50.0
Golf,0.0,0.0,0.006070213,50.0
Gymnastics,0.0,0.0,0.006070213,50.0
Judo,0.0,0.0,0.006070213,50.0
Rowing,0.0,0.0,0.006070213,50.0
Sailing,0.0,0.0,0.006070213,50.0
Swimming,0.0,0.0,0.006070213,50.0
Table Tennis,0.0,0.0,0.006070213,50.0
Water Polo,0.0,0.0,0.006070213,50.0
