Sport,Base_Prediction,Medal_Gain,Elasticity_Index,Impact_Score,Current_Strength,Response_Type
Hockey,0.16572826,0.952617,381.04679584503174,0.15787555,0.48,🔥 High Impact & High Voltage
Athletics,0.021813039,0.9526168,381.046724319458,0.020779468,0.12,🧊 Stable
Alpine Skiing,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Football,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Water Polo,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Table Tennis,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Swimming,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Sailing,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Rowing,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Judo,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Gymnastics,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Golf,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Equestrianism,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Diving,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Cycling,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Basketball,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Art Competitions,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Archery,0.006070213,0.95261693,381.0467720031738,0.0057825875,0.0,🧊 Stable
Alpinism,0.0025171323,0.9526169,381.0467481613159,0.0023978627,0.04,🧊 Stable
Tennis,0.0025171323,0.9526169,381.0467481613159,0.0023978627,0.04,🧊 Stable
Shooting,0.97442985,0.0,0.0,0.0,0.16,🧊 Stable
Boxing,0.027757699,-0.00594466,-2.377863973379135,-0.00016501007,0.12,🧊 Stable
Badminton,0.027757699,-0.00594466,-2.377863973379135,-0.00016501007,0.12,🧊 Stable
Weightlifting,0.032588225,-0.0059446655,-2.377866208553314,-0.0001937261,0.08,🧊 Stable
Wrestling,0.13900475,-0.0059445947,-2.377837896347046,-0.0008263269,0.28,🧊 Stable
